Parkrun	Location	Nearest station	Bike time	Abbrev
Mile End	Mile End Park	Bethnal Green	10	ME
Hackney Marshes	Hackney Marshes	Hackney Downs	10	HM
Highbury Fields	Highbury Fields	Rectory Road	15	HF
Finsbury	Finsbury Park	Stoke Newington	10	Fi
Walthamstow	Highams Park	Highams Park	3	Wa
Pymmes	Pymmes Park, Edmonton	Silver Street	3	Py
Gunpowder	Gunpowder Park, Waltham Abbey	Enfield Lock	7	Gu
Grovelands	Grovelands Park, Enfield	Bush Hill Park	17	Gr
Barclay	Barclay Park	Broxbourne	8	Ba
Harlow	Harlow Town Park	Harlow Town	4	Ha
Westmill	Westmill Farm	Ware	14	We
Panshanger	Panshanger Farm	Hertford East	15	Pa
Castle Park	Castle Park	Bishop's Stortford	4	CP
Coldham's Common	Coldham's Common	Cambridge	9	CC
Cambridge	Milton Country Park	Cambridge North	7	Ca
Littleport	Littleport Recreation Ground	Littleport	5	Li
King's Lynn	The Walks	King's Lynn	1	KL
Fulbourn Hospital	Fulbourn Hospital	Cambridge	16	FH
