Station	X	Y
Finsbury Park	1200	362
Wood Green	1261	247
Turnpike Lane	1261	275
Theobalds Grove	1423	131
Silver Street	1359	238
Southgate	1261	175
Oakleigh Park	1161	188
Highbury & Islington	1196	456
Walthamstow Central	1533	372
Loughton	1736	183
Brentwood	2015	307
Romford	1935	382
Elm Park	1927	549
Gants Hill	1773	375
Homerton	1520	530
Barking	1800	650
Hampstead Heath	894	440
Hendon Central	794	284
Elstree & Borehamwood	757	138
Canons Park	601	267
Watford	298	158
Carpender's Park	572	180
Rickmansworth	281	220
Harrow on the Hill	449	335
Amersham	38	142
Langley	29	576
Heathrow	120	937
Northolt	210	413
Boston Manor	233	860
Osterley	205	868
Acton Town	337	829
East Acton	508	744
Mile End	1489	650
Leytonstone High Road	1625	447
Royal Victoria	1748	785
Royal Albert	1833	883
Hatton Cross	145	935
Hampton Court	175	1030
Richmond	240	998
Putney Bridge	666	965
Battersea Power Station	758	990
Clapham South	854	1145
Tooting Bec	815	1185
Brixton	990	1132
Loughborough Junction	1019	1055
Southfields	666	1030
Herne Hill	1017	1130
Crystal Palace	1314	1196
Morden South	614	1285
South Croydon	1400	1350
East Croydon	1490	1310
Honor Oak Park	1379	1075
Norwood Junction	1355	1186
Beckenham Hill	1683	1126
Elmer's End	1741	1212
Bromley South	1858	1128
St Mary Cray	1971	1128
Orpington	2032	1200
Swanley	2017	1124
Dartford	2017	1060
Abbey Wood	1814	1082
Falconwood	1638	1082
Woolwich Arsenal	1749	1051
Charlton	1693	1037
Lewisham	1519	1141
Catford	1585	1160
Crofton Park	1519	1160
